층,건물,공간명,공간ID,Blender Object,촬영사진 넣는 폴더,내부 처리용 기존 폴더
4F,ANNEX,까치방,4F_KINDERGARTEN,SPACE_4F_KINDERGARTEN,촬영사진_넣는곳/4층/특별실_지원실/까치방/,사진보관/원본/4층/특별실_지원실/까치방/
4F,ANNEX,컴퓨터실,4F_COMPUTER,SPACE_4F_COMPUTER,촬영사진_넣는곳/4층/특별실_지원실/컴퓨터실/,사진보관/원본/4층/특별실_지원실/컴퓨터실/
2F,MAIN,시청각실,2F_AUDIO_VISUAL,SPACE_2F_AUDIO_VISUAL,촬영사진_넣는곳/2층/특별실_지원실/시청각실/,사진보관/원본/2층/특별실_지원실/시청각실/
2F,MAIN,한국어학급,2F_KOREAN_CLASS,SPACE_2F_KOREAN_CLASS,촬영사진_넣는곳/2층/특별실_지원실/한국어학급/,사진보관/원본/2층/특별실_지원실/한국어학급/
2F,MAIN,돌봄교실(꿈희망),2F_CARE_DREAM_HOPE,SPACE_2F_CARE_DREAM_HOPE,촬영사진_넣는곳/2층/특별실_지원실/돌봄교실(꿈희망)/,사진보관/원본/2층/특별실_지원실/돌봄교실(꿈희망)/
2F,MAIN,돌봄교실(꿈소망),2F_CARE_DREAM_WISH,SPACE_2F_CARE_DREAM_WISH,촬영사진_넣는곳/2층/특별실_지원실/돌봄교실(꿈소망)/,사진보관/원본/2층/특별실_지원실/돌봄교실(꿈소망)/
2F,MAIN,돌봄교실(꿈사랑),2F_CARE_DREAM_LOVE,SPACE_2F_CARE_DREAM_LOVE,촬영사진_넣는곳/2층/특별실_지원실/돌봄교실(꿈사랑)/,사진보관/원본/2층/특별실_지원실/돌봄교실(꿈사랑)/
2F,MAIN,교장실,2F_PRINCIPAL,SPACE_2F_PRINCIPAL,촬영사진_넣는곳/2층/특별실_지원실/교장실/,사진보관/원본/2층/특별실_지원실/교장실/
2F,MAIN,학교운영위원회 회의실,2F_OPERATIONS_MEETING,SPACE_2F_OPERATIONS_MEETING,촬영사진_넣는곳/2층/특별실_지원실/학교운영위원회의실/,사진보관/원본/2층/특별실_지원실/학교운영위원회의실/
2F,MAIN,교무실,2F_STAFF,SPACE_2F_STAFF,촬영사진_넣는곳/2층/특별실_지원실/교무실/,사진보관/원본/2층/특별실_지원실/교무실/
2F,MAIN,방송실(교원회의실),2F_BROADCAST,SPACE_2F_BROADCAST,촬영사진_넣는곳/2층/특별실_지원실/방송실(교원회의실)/,사진보관/원본/2층/특별실_지원실/방송실(교원회의실)/
2F,EAST_WING,과학준비실,2F_SCIENCE_PREP,SPACE_2F_SCIENCE_PREP,촬영사진_넣는곳/2층/특별실_지원실/과학준비실/,사진보관/원본/2층/특별실_지원실/과학준비실/
2F,EAST_WING,지능형과학실,2F_INTELLIGENT_SCIENCE,SPACE_2F_INTELLIGENT_SCIENCE,촬영사진_넣는곳/2층/특별실_지원실/지능형과학실/,사진보관/원본/2층/특별실_지원실/지능형과학실/
2F,EAST_WING,과학실,2F_SCIENCE,SPACE_2F_SCIENCE,촬영사진_넣는곳/2층/특별실_지원실/과학실/,사진보관/원본/2층/특별실_지원실/과학실/
4F,ANNEX,2학년 연수실,4F_GRADE2_RESEARCH,SPACE_4F_GRADE2_RESEARCH,촬영사진_넣는곳/4층/특별실_지원실/2학년 연수실/,사진보관/원본/4층/특별실_지원실/2학년 연수실/
3F,MAIN,상담실,3F_COUNSELING,SPACE_3F_COUNSELING,촬영사진_넣는곳/3층/특별실_지원실/상담실/,사진보관/원본/3층/특별실_지원실/상담실/
3F,MAIN,5학년 연수실,3F_GRADE5_RESEARCH,SPACE_3F_GRADE5_RESEARCH,촬영사진_넣는곳/3층/특별실_지원실/5학년 연수실/,사진보관/원본/3층/특별실_지원실/5학년 연수실/
3F,EAST_WING,책터 도서관,3F_BOOK_LIBRARY,SPACE_3F_BOOK_LIBRARY,촬영사진_넣는곳/3층/특별실_지원실/책터 도서관/,사진보관/원본/3층/특별실_지원실/책터 도서관/
4F,MAIN,6학년 연수실,4F_GRADE6_RESEARCH,SPACE_4F_GRADE6_RESEARCH,촬영사진_넣는곳/4층/특별실_지원실/6학년 연수실/,사진보관/원본/4층/특별실_지원실/6학년 연수실/
4F,EAST_WING,4학년 연수실,4F_GRADE4_RESEARCH,SPACE_4F_GRADE4_RESEARCH,촬영사진_넣는곳/4층/특별실_지원실/4학년 연수실/,사진보관/원본/4층/특별실_지원실/4학년 연수실/
2F,ANNEX,개별학습실1,2F_INDIVIDUAL_1,SPACE_2F_INDIVIDUAL_1,촬영사진_넣는곳/2층/특별실_지원실/개별학습실1/,사진보관/원본/2층/특별실_지원실/개별학습실1/
2F,ANNEX,개별학습실2,2F_INDIVIDUAL_2,SPACE_2F_INDIVIDUAL_2,촬영사진_넣는곳/2층/특별실_지원실/개별학습실2/,사진보관/원본/2층/특별실_지원실/개별학습실2/
3F,ANNEX,개별학습실3,3F_INDIVIDUAL_3,SPACE_3F_INDIVIDUAL_3,촬영사진_넣는곳/3층/특별실_지원실/개별학습실3/,사진보관/원본/3층/특별실_지원실/개별학습실3/
1F,ANNEX,개별학습실4,1F_INDIVIDUAL_4,SPACE_1F_INDIVIDUAL_4,촬영사진_넣는곳/1층/특별실_지원실/개별학습실4/,사진보관/원본/1층/특별실_지원실/개별학습실4/
1F,ANNEX,개별학습실5,1F_INDIVIDUAL_5,SPACE_1F_INDIVIDUAL_5,촬영사진_넣는곳/1층/특별실_지원실/개별학습실5/,사진보관/원본/1층/특별실_지원실/개별학습실5/
