층,건물,공간명,공간ID,Blender Object,촬영사진 넣는 폴더,내부 처리용 기존 폴더
1F,MAIN,3-1 교실,1F_3-1,SPACE_1F_3-1,촬영사진_넣는곳/1층/교실/3-1 교실/,사진보관/원본/1층/교실/3-1 교실/
1F,MAIN,3-2 교실,1F_3-2,SPACE_1F_3-2,촬영사진_넣는곳/1층/교실/3-2 교실/,사진보관/원본/1층/교실/3-2 교실/
1F,MAIN,3-3 교실,1F_3-3,SPACE_1F_3-3,촬영사진_넣는곳/1층/교실/3-3 교실/,사진보관/원본/1층/교실/3-3 교실/
1F,MAIN,3-4 교실,1F_3-4,SPACE_1F_3-4,촬영사진_넣는곳/1층/교실/3-4 교실/,사진보관/원본/1층/교실/3-4 교실/
2F,ANNEX,1-1 교실,2F_1-1,SPACE_2F_1-1,촬영사진_넣는곳/2층/교실/1-1 교실/,사진보관/원본/2층/교실/1-1 교실/
2F,ANNEX,1-2 교실,2F_1-2,SPACE_2F_1-2,촬영사진_넣는곳/2층/교실/1-2 교실/,사진보관/원본/2층/교실/1-2 교실/
1F,ANNEX,1-3 교실,1F_1-3,SPACE_1F_1-3,촬영사진_넣는곳/1층/교실/1-3 교실/,사진보관/원본/1층/교실/1-3 교실/
1F,ANNEX,1-4 교실,1F_1-4,SPACE_1F_1-4,촬영사진_넣는곳/1층/교실/1-4 교실/,사진보관/원본/1층/교실/1-4 교실/
1F,ANNEX,1-5 교실,1F_1-5,SPACE_1F_1-5,촬영사진_넣는곳/1층/교실/1-5 교실/,사진보관/원본/1층/교실/1-5 교실/
1F,ANNEX,1-6 교실,1F_1-6,SPACE_1F_1-6,촬영사진_넣는곳/1층/교실/1-6 교실/,사진보관/원본/1층/교실/1-6 교실/
2F,MAIN,3-5 교실,2F_3-5,SPACE_2F_3-5,촬영사진_넣는곳/2층/교실/3-5 교실/,사진보관/원본/2층/교실/3-5 교실/
2F,MAIN,3-6 교실,2F_3-6,SPACE_2F_3-6,촬영사진_넣는곳/2층/교실/3-6 교실/,사진보관/원본/2층/교실/3-6 교실/
4F,ANNEX,2-1 교실,4F_2-1,SPACE_4F_2-1,촬영사진_넣는곳/4층/교실/2-1 교실/,사진보관/원본/4층/교실/2-1 교실/
4F,ANNEX,2-2 교실,4F_2-2,SPACE_4F_2-2,촬영사진_넣는곳/4층/교실/2-2 교실/,사진보관/원본/4층/교실/2-2 교실/
4F,ANNEX,2-3 교실,4F_2-3,SPACE_4F_2-3,촬영사진_넣는곳/4층/교실/2-3 교실/,사진보관/원본/4층/교실/2-3 교실/
3F,ANNEX,2-4 교실,3F_2-4,SPACE_3F_2-4,촬영사진_넣는곳/3층/교실/2-4 교실/,사진보관/원본/3층/교실/2-4 교실/
3F,ANNEX,2-5 교실,3F_2-5,SPACE_3F_2-5,촬영사진_넣는곳/3층/교실/2-5 교실/,사진보관/원본/3층/교실/2-5 교실/
