층,건물,공간명,공간ID,Blender Object,촬영사진 넣는 폴더,내부 처리용 기존 폴더
EXTERIOR,EXTERIOR,후문,EXT_REAR_GATE,SPACE_EXT_REAR_GATE,촬영사진_넣는곳/외부/외부공간/외부__후문/,photos/raw/exterior/rear_gate/
EXTERIOR,EXTERIOR,운동장,EXT_PLAYGROUND,SPACE_EXT_PLAYGROUND,촬영사진_넣는곳/외부/외부공간/외부__운동장/,photos/raw/exterior/playground/
EXTERIOR,EXTERIOR,놀이터 및 모래터,EXT_PLAY_AREA,SPACE_EXT_PLAY_AREA,촬영사진_넣는곳/외부/외부공간/외부__놀이터 및 모래터/,photos/raw/exterior/play_area/
EXTERIOR,EXTERIOR,학교텃밭,EXT_SCHOOL_GARDEN,SPACE_EXT_SCHOOL_GARDEN,촬영사진_넣는곳/외부/외부공간/외부__학교텃밭/,photos/raw/exterior/school_garden/
EXTERIOR,EXTERIOR,명상숲,EXT_MEDITATION_GROVE,SPACE_EXT_MEDITATION_GROVE,촬영사진_넣는곳/외부/외부공간/외부__명상숲/,photos/raw/exterior/meditation_grove/
EXTERIOR,EXTERIOR,구령대,EXT_ROSTRUM,SPACE_EXT_ROSTRUM,촬영사진_넣는곳/외부/외부공간/외부__구령대/,photos/raw/exterior/rostrum/
EXTERIOR,EXTERIOR,본관 출입구,EXT_MAIN_ENTRANCE,SPACE_EXT_MAIN_ENTRANCE,촬영사진_넣는곳/외부/출입구_현관/외부__본관 출입구/,photos/raw/exterior/main_entrance/
EXTERIOR,EXTERIOR,별관 출입구,EXT_ANNEX_ENTRANCE,SPACE_EXT_ANNEX_ENTRANCE,촬영사진_넣는곳/외부/출입구_현관/외부__별관 출입구/,photos/raw/exterior/annex_entrance/
EXTERIOR,EXTERIOR,배움터지킴이실,EXT_GUARD_POST,SPACE_EXT_GUARD_POST,촬영사진_넣는곳/외부/특별실_지원실/외부__배움터지킴이실/,photos/raw/exterior/guard_post/
2F,MAIN,3학년 연수실,2F_GRADE3_RESEARCH,SPACE_2F_GRADE3_RESEARCH,촬영사진_넣는곳/2층/특별실_지원실/본관__3학년 연수실/,photos/raw/2F/special_rooms/grade3_research/
1F,MAIN,본관 현관,1F_MAIN_LOBBY,SPACE_1F_MAIN_LOBBY,촬영사진_넣는곳/1층/출입구_현관/본관__본관 현관/,photos/raw/1F/entrances/1F_MAIN_LOBBY/
1F,ANNEX,별관 계단 E,1F_ANNEX_STAIR_E,SPACE_1F_ANNEX_STAIR_E,촬영사진_넣는곳/1층/계단/별관_중간_E__개별학습실5·개별학습실4_사이_계단_위치확인필요/,photos/raw/1F/stairs/1F_ANNEX_STAIR_E/
2F,ANNEX,별관 계단 E,2F_ANNEX_STAIR_E,SPACE_2F_ANNEX_STAIR_E,촬영사진_넣는곳/2층/계단/별관_중간_E__3-7 교실·2-6 교실_사이_계단_위치확인필요/,photos/raw/2F/stairs/2F_ANNEX_STAIR_E/
3F,ANNEX,별관 계단 E,3F_ANNEX_STAIR_E,SPACE_3F_ANNEX_STAIR_E,촬영사진_넣는곳/3층/계단/별관_중간_E__2-5 교실·2-4 교실_사이_계단_위치확인필요/,photos/raw/3F/stairs/3F_ANNEX_STAIR_E/
4F,ANNEX,별관 계단 E,4F_ANNEX_STAIR_E,SPACE_4F_ANNEX_STAIR_E,촬영사진_넣는곳/4층/계단/별관_중간_E__2-2 교실·2-1 교실_사이_계단_위치확인필요/,photos/raw/4F/stairs/4F_ANNEX_STAIR_E/
